wavelength_um,frequency_per_um,reference_flux,ring_flux,normalized_transmission
1.3069139966273187,0.7651612903225806,6.664844971932937e-05,5.8507431834109454e-05,0.8778513540899533
1.3172431375881704,0.7591612903225806,0.00015725639672206315,0.00012871090385910912,0.8184780176961216
1.327736851122152,0.7531612903225806,0.0003566561711547101,0.00034061944812157057,0.9550359019970999
1.3383991019773769,0.7471612903225806,0.0008286118302341205,0.0006196884086594113,0.7478633372689371
1.3492339832869082,0.7411612903225806,0.0017643015239941385,0.0015556317942708466,0.8817267191092756
1.3602457218078106,0.7351612903225806,0.0031312359255979754,0.0029249452165953714,0.9341184395221805
1.371438683418864,0.7291612903225806,0.005238688179108341,0.004989550522708165,0.952442739884056
1.382817378891962,0.7231612903225806,0.009060251653707347,0.009305515329542923,1.0270702939840768
1.3943864699532207,0.7171612903225806,0.01622203354238544,0.01217398499806803,0.7504598585781159
1.406150775650912,0.7111612903225806,0.026739018713441694,0.023579520617088946,0.8818394148935439
1.4181152790484906,0.7051612903225806,0.040265016701471056,0.03896145316433097,0.967625406769235
1.4302851342622496,0.6991612903225807,0.06425846561409417,0.06396084554656015,0.9953683913132725
1.4426656738644825,0.6931612903225807,0.11219887757381938,0.11561611360392696,1.0304569537949189
1.4552624166744905,0.6871612903225807,0.18992570994427588,0.12767376017555773,0.6722300009462497
1.4680810759613563,0.6811612903225807,0.27411295056030904,0.2212527686420667,0.8071591225070108
1.4811275680840899,0.6751612903225807,0.3663005664875887,0.35456227025099063,0.9679544687873264
1.4944080215966062,0.6691612903225806,0.5094076960763495,0.4577496260030284,0.898591893151181
1.5079287868469695,0.6631612903225806,0.700696179372029,0.6751207019931553,0.9634999046208662
1.5216964461024935,0.6571612903225806,0.8185635245001037,0.5103167073068439,0.6234295714782723
1.5357178242346181,0.6511612903225806,0.8166549509046653,0.6168726585441705,0.7553651121086303
1.55,0.6451612903225806,0.8124869772669797,0.8112413894875473,0.998466944315068
1.5645503179570002,0.6391612903225806,0.8298365734619368,0.5994070510929813,0.72231939427827
1.5793764010597107,0.6331612903225806,0.7535885079172456,0.6576851002508505,0.8727376988119799
1.5944861639748997,0.6271612903225806,0.5656864904752789,0.37564138850311435,0.6640451819655578
1.6098878271707522,0.6211612903225806,0.40624972291786354,0.2543429593731966,0.6260754039323252
1.6255899318300997,0.6151612903225806,0.30694188390133037,0.3122247020135031,1.0172111347106703
1.6416013556449907,0.6091612903225806,0.2208380720716137,0.12278653476672859,0.5560025661105716
1.657931329553963,0.6031612903225806,0.13358522907857967,0.1149972817660597,0.860853273668559
1.6745894554883318,0.5971612903225807,0.07680452902685161,0.056832900248800305,0.7399680848108705
1.6915857251991704,0.5911612903225807,0.048865512651633546,0.024765873819081442,0.5068170264709897
1.7089305402425579,0.5851612903225807,0.03253664729331255,0.03159290450004367,0.9709944671077757
1.7266347332070846,0.5791612903225807,0.01931966069200156,0.009386595261903198,0.48585714891925086
1.744709590274651,0.5731612903225807,0.010680678078894478,0.009405308886735558,0.8805909903155764
1.7631668752132863,0.5671612903225807,0.006403768509443837,0.005004152155332527,0.7814386400683828
1.7820188549091744,0.5611612903225807,0.003987294582327387,0.0013062404049490784,0.32760067709535134
1.8012783265543288,0.5551612903225807,0.0021155302204364287,0.0019357669286157037,0.9150268381495206
1.8209586466165413,0.5491612903225807,0.0009734017500245748,0.00047316228855583597,0.4860914710127554
1.8410737617294215,0.5431612903225806,0.00045441128406448683,0.0004175379933454836,0.9188548083815401
1.8616382416526542,0.5371612903225806,0.00021858803674426315,0.00017446983967788854,0.7981673758386391
1.8826673144661727,0.5311612903225806,9.009012301737442e-05,2.374072622326041e-05,0.26352196476279505
1.9041769041769043,0.5251612903225806,3.025167160109436e-05,2.8279336790890835e-05,0.934802452036
