wavelength_um,frequency_per_um,output_flux,normalized_output_flux
1.3069139966273187,0.7651612903225806,4.636138292381178e-05,5.94932349853393e-05
1.3172431375881704,0.7591612903225806,0.00011640726857935446,0.00014937960317046637
1.327736851122152,0.7531612903225806,0.00029428374696170235,0.0003776395570237923
1.3383991019773769,0.7471612903225806,0.0006109750067164367,0.0007840335501743843
1.3492339832869082,0.7411612903225806,0.001109108165142755,0.0014232628220222055
1.3602457218078106,0.7351612903225806,0.0021098011752811365,0.0027074019189552182
1.371438683418864,0.7291612903225806,0.004182101506078852,0.005366680887034117
1.382817378891962,0.7231612903225806,0.007412567181466891,0.009512175292448452
1.3943864699532207,0.7171612903225806,0.011675280188251435,0.014982300870981222
1.406150775650912,0.7111612903225806,0.020204455955207368,0.025927363898299794
1.4181152790484906,0.7051612903225806,0.0387992293591375,0.04978910299778128
1.4302851342622496,0.6991612903225807,0.06907687702884548,0.0886428880666488
1.4426656738644825,0.6931612903225807,0.1053637638101705,0.1352080279744787
1.4552624166744905,0.6871612903225807,0.1652671512888794,0.2120790374856774
1.4680810759613563,0.6811612903225807,0.27479857690764614,0.3526352166084018
1.4811275680840899,0.6751612903225807,0.40280622957130774,0.516901010240055
1.4944080215966062,0.6691612903225806,0.4829220592666923,0.6197096320179201
1.5079287868469695,0.6631612903225806,0.5745398893547646,0.7372781934051832
1.5216964461024935,0.6571612903225806,0.7177641210732786,0.9210706589411457
1.5357178242346181,0.6511612903225806,0.7792715076804353,1.0
1.55,0.6451612903225806,0.6898853364686235,0.8852952144011053
1.5645503179570002,0.6391612903225806,0.609346041523448,0.781943180929604
1.5793764010597107,0.6331612903225806,0.5661484643016323,0.7265098989527015
1.5944861639748997,0.6271612903225806,0.4525771095346935,0.5807694815916289
1.6098878271707522,0.6211612903225806,0.30140569398487566,0.38677879405861265
1.6255899318300997,0.6151612903225806,0.2084916104605061,0.2675468157190788
1.6416013556449907,0.6091612903225806,0.15531607832813202,0.1993093251804405
1.657931329553963,0.6031612903225806,0.10199992042841133,0.13089137665513056
1.6745894554883318,0.5971612903225807,0.060511932370320216,0.07765192461667035
1.6915857251991704,0.5911612903225807,0.04068351738765649,0.05220711521810194
1.7089305402425579,0.5851612903225807,0.029670357776193538,0.03807448043944242
1.7266347332070846,0.5791612903225807,0.018652330438974376,0.02393559915271963
1.744709590274651,0.5731612903225807,0.010643892936161832,0.013658773394454317
1.7631668752132863,0.5671612903225807,0.00670324444145112,0.008601937033992002
1.7820188549091744,0.5611612903225807,0.004078747473098959,0.0052340518457292
1.8012783265543288,0.5551612903225807,0.0019972470570473414,0.0025629668701635314
1.8209586466165413,0.5491612903225807,0.0009067364055981799,0.0011635693037169474
1.8410737617294215,0.5431612903225806,0.00044909659993983496,0.0005763031183786089
1.8616382416526542,0.5371612903225806,0.00019624034391955972,0.0002518253804809122
1.8826673144661727,0.5311612903225806,6.933464986901082e-05,8.89736750101271e-05
1.9041769041769043,0.5251612903225806,2.4592292631140193e-05,3.15580543992185e-05
