wavelength_um,frequency_per_um,output_flux,normalized_output_flux
1.2576064908722109,0.7951612903225806,3.801908961746191e-05,6.849446791156609e-05
1.2602479842807779,0.7934946236559139,4.797929612109463e-05,8.643858629051602e-05
1.2629005975013579,0.7918279569892474,6.0374294946318706e-05,0.00010876918015377031
1.2655644008981424,0.7901612903225806,7.570126438650486e-05,0.00013638195644760908
1.2682394654302467,0.788494623655914,9.452356952287878e-05,0.0001702918629750115
1.2709258626580116,0.7868279569892473,0.00011750390514923351,0.00021169279805772408
1.2736236647493837,0.7851612903225806,0.00014544629659067908,0.0002620332784115585
1.276332944486379,0.7834946236559139,0.00017932692099034724,0.0003230719661896331
1.279053775271627,0.7818279569892473,0.0002202976179500661,0.00039688399368576394
1.281786231135001,0.7801612903225806,0.00026966276569793225,0.0004858193038782772
1.2845303867403315,0.778494623655914,0.00032884994367341375,0.0005924497967019611
1.2872863173922071,0.7768279569892473,0.000399403008820426,0.0007195568554295097
1.290054099042863,0.7751612903225806,0.00048301419272649766,0.0008701891722662639
1.292833808299159,0.7734946236559139,0.0005815847014653724,0.001047771923872727
1.295625522429646,0.7718279569892473,0.0006972788408507078,0.0012562042823909983
1.2984293193717276,0.7701612903225807,0.0008325339453890612,0.0014998773032574098
1.3012452777389114,0.768494623655914,0.0009900130825524955,0.0017835887181206374
1.3040734768281568,0.7668279569892473,0.001172525212373711,0.002112399095888578
1.3069139966273187,0.7651612903225806,0.0013829615000504661,0.0024915171047291806
1.3097669178226887,0.7634946236559139,0.0016242867210821438,0.002926284027728146
1.3126323218066338,0.7618279569892473,0.00189958443300342,0.0034222551434241622
1.3155102906853382,0.7601612903225807,0.002212111251816355,0.003985297509195452
1.3184009072866458,0.758494623655914,0.002565302499108314,0.0046216001349998845
1.3213042551680045,0.7568279569892473,0.002962702334242907,0.005337548110860574
1.3242204186245194,0.7551612903225806,0.003407846875506474,0.006139512040148939
1.3271494826971104,0.7534946236559139,0.003904167698664628,0.0070336741844217055
1.330091533180778,0.7518279569892473,0.004454973069732605,0.008025994652737338
1.333046656632982,0.7501612903225807,0.005063508743968578,0.009122320935964675
1.3360149403821289,0.748494623655914,0.005733039966651685,0.010328535637823209
1.3389964725361745,0.7468279569892473,0.006466880941976228,0.011650609565481734
1.341991341991342,0.7451612903225806,0.007268346130127527,0.013094513987297584
1.3449996384409573,0.743494623655914,0.008140677582915378,0.01466608972207753
1.3480214523844036,0.7418279569892473,0.009087051294776282,0.01637105858092244
1.351056875136195,0.7401612903225807,0.010110736797493273,0.0182153108900356
1.3541059988351776,0.738494623655914,0.011215389119829555,0.020205431479639307
1.357168916453849,0.7368279569892473,0.012405359969034165,0.02234926030265007
1.3602457218078106,0.7351612903225806,0.013685905890338556,0.024656267450863998
1.363336509565345,0.733494623655914,0.015063272190962408,0.027137704350847586
1.366441375257126,0.7318279569892473,0.01654478219562799,0.029806764564972856
1.3695604152860612,0.7301612903225807,0.018139142802953943,0.03267913427599812
1.3726937269372694,0.728494623655914,0.019857092804604955,0.03577416028650298
1.3758414083881945,0.7268279569892473,0.021712279582656764,0.03911642946016749
1.3790035587188614,0.7251612903225806,0.023721992434250643,0.04273708986550595
1.382180277922271,0.723494623655914,0.025907310008148852,0.04667411639475783
1.3853716669149412,0.7218279569892473,0.02829246831317278,0.05097117217992403
1.3885778275475922,0.7201612903225807,0.030903764195070665,0.05567563311757127
